3.1 | Необязательно указывать класс дома.
3.2 | Классы домов в кавычки не берутся.
3.3 | При продаже дома в объявлении обязательно нужно указать местоположение. 
Правильно: Продам дом -> MM | ПРО (Укажите место)
Неправильно: Продам дом -> MM | Продам дом в любой точке штата. Цена договорная.
3.4 | Если в объявлении при покупке дома отсутствует местоположение то к объявлению приписывается "В любой точке штата".
Пример: MM | Куплю дом в любой точке штата. Цена договорная.
3.5 | Запрещено редактировать объявления про покупку/продажу/обмен номеров в отеле.
3.6 | В объявлении районы и деревни обязательно должны быть написаны по-английски, в кавычки они не берутся. 
Пример: Продам хату в Паломино крик -> MM | Продам дом в д. Palomino-Creek. Цена договорная.
3.7 | Разрешено редактировать объявления с классами домов: "Времянка", "Мотель", "Вагончик/Трейлер"!
Пример: Куплю времянку -> ММ | Куплю временное жилье в любой точке Штата. Цена договорная.
3.8 | Запрещено редактировать объявления про поиск сожителя.
3.9 | Слово "Гетто" в объявлении заменяется на "Опасный район". Слово "Опасный район" редактируется без кавычек.
Пример: Продам хату в гетто 150к -> MM | Продам дом в опасном районе. Цена: 150.000$
3.10 | Запрещено редактировать объявления про сдачу дома в аренду.
3.11 | Разрешено указывать типы географических положений, будь то район, гора, город, пляж или деревня.
Пример: MM | Продам дом в р. Santa-Maria. Цена: 1.500.000$; MM | Продам дом на г. VineWood. Цена: 2.000.000$.
3.12 | При обмене дома, обязательно должно присутствовать местоположение дома человека, отправившего объявление.
3.13 | Запрещена публикация объявления если указано несколько действий с ним.
Пример: Продам либо обменяю хату на ВВ -> MM | ПРО (Определись)
3.14 | При обмене дома, необязательно указывать местоположение дома, на который хотят совершить обмен.
Пример: MM | Обменяю дом в San-Fierro на другой в любой точке штата.
3.15 | При обмене дома, разрешено указывать объявление с доплатой.
Пример: MM | Обменяю дом в San-Fierro на любой другой с доплатой.
3.16 | Разрешено указывать номер дома при его продаже/покупке.
Пример: MM | Продам элитный дом №1 в Los-Santos. Цена договорная.
